title,authors,year,venue,doi,url,reason_for_exclusion
Robustness analysis of watermarking techniques for LLM-generated code,"Cao, Di; Liu, Shigang; Zhang, Jun; Xiang, Yang",2025,IEEE Networking Letters,10.1109/LNET.2025.3616325,https://ieeexplore.ieee.org/abstract/document/11186154/?casa_token=ZJokMTIAY-0AAAAA:ZtyqPgqwY-keb9vg9ZVSiggcpb7FveF1P2TOehK8qQprZsR-NqjgAzlP-fTFvkw_xEPeANeC,"Independent evaluation of two existing watermarking schemes (SWEET, CodeMark) under adversarial attacks; no new watermarking method is proposed."
Modelshield: Adaptive and robust watermark against model extraction attack,"Pang, Kaiyi; Qi, Tao; Wu, Chuhan; Bai, Minhao; Jiang, Minghu; Huang, Yongfeng",2025,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2025.3530691,https://ieeexplore.ieee.org/abstract/document/10843740/?casa_token=TyFlnPk1MKQAAAAA:c5xnC2tQ7C2m47s3UyWwBHj1370O2H0iYsDAsAnvXZmgXcXkBbTyZRuT2jThYEjXVjie4BxZ,"Watermarks LLM-generated content to defend against model-extraction attacks; verifies the model's IP, not a code artifact (content is generic, not code-specific)."
AI Watermark Evidence Fails Forensic Readiness: An Empirical Evaluation,"SR Tamim, AL Khan",2026,arXiv preprint arXiv:2607.16010,,https://arxiv.org/abs/2607.16010,"Independent forensic-admissibility evaluation of three existing text-watermarking methods (KGW, Unigram, SynthID-Text); no new method proposed, and not code-specific."
A Likelihood Based Approach for Watermark Detection.,"Li, Xingchi; Li, Guanxun; Zhang, Xianyang",2025,Proceedings of Machine Learning Research,,https://raw.githubusercontent.com/mlresearch/v258/main/assets/li25d/li25d.pdf,"Statistical detection method for generic LLM text watermarks, validated on natural-language text; not code-specific."
Learning to Follow In-Context Watermark Instructions via Self-Distillation,"Y Liu, T Chen, X Zhao, D Song, Y Bu",2026,arXiv preprint arXiv:2608.29030,,https://arxiv.org/abs/2608.29030,"In-context watermarking of generic LLM responses via prompting; benchmark and training method for text watermarking, not code-specific."
WaterMoE: Expert-Routing-based Watermarking for High Fidelity and Efficiency,"Z Sun, Q Jiang, S Sheng, L Xiang",2026,arXiv preprint arXiv:2607.13099,,https://arxiv.org/abs/2607.13099,Watermarking scheme for Mixture-of-Experts LLMs evaluated on generic text-generation tasks; not code-specific.
On Protecting Agentic Systems' Intellectual Property via Watermarking,"L Wang, Z Li, Y Xie, S Wang, D She, W Wang…",2026,arXiv preprint arXiv …,,https://arxiv.org/abs/2602.08401,"Watermarks an LLM agent's tool-use action sequences to protect the agent system's IP; verifies agent behavior, not a generated code artifact."
Machine learning and watermarking for accurate detection of AI-generated phishing emails,"A Brissett, J Wall",2025,Electronics,,https://www.mdpi.com/2079-9292/14/13/2611,"Primarily a phishing-email classification framework; watermarking is only mentioned as a complementary idea, not a developed method, and the content is text (emails), not code."
Detecting benchmark contamination through watermarking,"T Sander, P Fernandez, S Mahloujifar…",2025,arXiv preprint arXiv …,,https://arxiv.org/abs/2502.17259,"Watermarks LLM evaluation benchmarks (text) to detect training contamination; verifies the dataset/benchmark, not generated code."
WatME: Towards lossless watermarking through lexical redundancy,"Chen, Liang; Bian, Yatao; Deng, Yang; Cai, Deng; Li, Shuaiyi; Zhao, Peilin; Wong, Kam-Fai",2024,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2024.acl-long.496,https://aclanthology.org/2024.acl-long.496.pdf,Lexical-redundancy-based text watermarking for LLMs; not code-specific.
Mitigating watermark forgery in generative models via randomized key selection,"T Aremu, N Hussein, M Nwadike, S Poppi…",2025,arXiv preprint arXiv …,,https://arxiv.org/abs/2507.07871,Generic GenAI watermark-forgery defense with no code-specific content or connection.
Sandcastles in the Storm: Revisiting the (Im) possibility of Strong Watermarking,"Harel-Canada, Fabrice; Erol, Boran; Choi, Connor; Liu, Jason; Song, Gary Jiarui; Peng, Nanyun; Sahai, Amit",2025,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2025.acl-long.1436,https://arxiv.org/abs/2505.06827,Empirical study revisiting watermark-removal (random-walk attack) theory for AI-generated text; not code-specific and not a new watermarking method.
On the Empirical Power of Goodness-of-Fit Tests in Watermark Detection,"W He, X Li, T Shang, L Shen, W Su…",2026,Advances in neural …,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1b19bf73c2f341a350f9bd05c204d97b-Abstract-Conference.html,"Independent evaluation of eight statistical goodness-of-fit tests across existing text-watermarking schemes; no new method proposed, not code-specific."
Watermarking using semantic-aware speculative sampling: from theory to practice,"B Huang, H Zhu, J Piet, B Zhu, JD Lee…",2025,,,https://openreview.net/forum?id=LdIlnsePNt,Theoretical and practical statistical text watermarking (SEAL); not code-specific.
WaterDrum: Watermark-based Data-centric Unlearning Metric,"X Lu, X Niu, GKR Lau, N Bui, RHL Sim…",2026,International …,,https://proceedings.iclr.cc/paper_files/paper/2026/hash/1473b46487e23d38408efac76423ca74-Abstract-Conference.html,Duplicate listing of the WaterDrum unlearning-metric paper above; same reasoning applies.
Learning to Watermark in the Latent Space of Generative Models,"SA Rebuffi, T Tran, V Lacatusu, P Fernandez…",2026,arXiv preprint arXiv …,,https://arxiv.org/abs/2601.16140,Latent-space watermarking for diffusion/autoregressive image generative models; confirmed image medium.
Explanation as a watermark: Towards harmless and multi-bit model ownership verification via watermarking feature attribution,"S Shao, Y Li, H Yao, Y He, Z Qin, K Ren",2024,arXiv preprint arXiv:2405.04825,,https://arxiv.org/abs/2405.04825,"Backdoor-based model-ownership watermarking via feature-attribution; verifies the model, not generated code."
FoldMark: Safeguarding protein structure generative models with distributional and evolutionary watermarking,"Z Zhang, R Jin, G Xu, X Wang, M Zitnik, L Cong…",2025,BioRxiv,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11565776/,"Watermarks protein-structure generative models (AlphaFold3 etc.); unrelated domain (biology), not code."
Semantic Differentiation for Tackling Challenges in Watermarking Low-Entropy Constrained Generation Outputs,"NT Le, A Ritter, K Goyal",2026,arXiv preprint arXiv:2601.11629,,https://arxiv.org/abs/2601.11629,Sequence-level watermarking for generic low-entropy constrained-generation LM outputs; no code-specific connection stated.
Don't Corrupt the Fact: A Trustworthy RAG Watermarking Framework based on Dual Factual Shield,"H Huang, JT Luo, R Zhou, Y Li…",2026,Proceedings of the 64th …,,https://aclanthology.org/2026.acl-long.2075/,Text watermarking for RAG-generated content grounded in retrieved documents; not code-specific.
Invisible Entropy: A Safe and Efficient Paradigm for Low-entropy Watermarking,TT Party,,openreview.net,,https://openreview.net/forum?id=EnLe2BJmnX,Generic logit-based (green/red-list) LLM text watermarking for low-entropy scenarios; not code-specific.
Watermark in the classroom: A conformal framework for adaptive AI usage detection,"Y Xie, X Chen, Z Ren, WJ Su",2026,Harvard Data Science Review,,https://assets.pubpub.org/c99608f92-d70f-46c1-a72c-df272215f13e/p072aebb0-f217-4f9e-8781-46e281687893/exports/bf0adf5b3a53b347.pdf,Text-watermark-based AI-usage detection evaluated on student essays; confirmed natural-language content.
Distributional information embedding: A framework for multi-bit watermarking,"He, Haiyun; Liu, Yepeng; Wang, Ziqiao; Mao, Yongyi; Bu, Yuheng",2025,"2025 Asia Pacific Workshop on Data Science and Information Theory, APWDSIT 2025",10.1109/APWDSIT64675.2025.11478544,https://ieeexplore.ieee.org/abstract/document/11478544/?casa_token=7UB04AjEklIAAAAA:xcizRb2cYgo7AkAMERNqpQ9bF6J5BPuKX9JjRkBKpw4VuZ4A-AXrdutpkasj_xoF8jkYbhZV,Information-theoretic framework for generic multi-bit LLM text watermarking; no code-specific connection.
Watermark Robustness and Radioactivity May Be at Odds in Federated Learning,"L Huang, Z Shao, T Baluta",2025,arXiv preprint arXiv:2510.17033,,https://arxiv.org/abs/2510.17033,"Studies text-watermark ""radioactivity"" surviving federated fine-tuning; verifies model-update provenance, not a code artifact."
Provable Watermark Extraction,T Solberg,,The 1st Workshop on GenAI Watermarking,,https://openreview.net/forum?noteId=JyrjeQJ8VK,"Zero-knowledge framework for generic DNN/GenAI watermark provability; verifies the model/extractor, not generated code."
Copyright Protection for Geographic Question-Answering Datasets via Tone-Driven Backdoor Watermarking; [基于语态后门水印的地理问答数据集版权保护],"Chen, Weitong; Xu, Xin; Wang, Shu; Yang, Fei; Zhu, Yunqiang; Zhao, Chen",2026,Journal of Geo-Information Science,10.12082/dqxxkx.2026.250608,https://www.sciengine.com/doi/10.12082/dqxxkx.2026.250608,Backdoor watermarking for a geographic question-answering (text) dataset; not code-specific.
VulCodeMark: Adaptive Watermarking for Vulnerability Datasets Protection,"Cao, Di; Liu, Shigang; Zhang, Jun; Xiang, Yang",2025,"Proceedings - 28th International Symposium on Research in Attacks, Intrusions and Defenses, RAID 2025",10.1109/RAID67961.2025.00024,https://ieeexplore.ieee.org/abstract/document/11352488/?casa_token=yhGZhi73yD8AAAAA:-0MfTiecYo3ukWBfoLMljW63KEv9NLf7PtfDr1HI6z9Kw-zvR3Ukq0phqmQ1D3RFm0FKrUek,"Watermarks code datasets used to train vulnerability *detection* models, not code-generation models; not connected to the LLM-code-generation provenance literature."
Where is the Watermark? Interpretable Watermark Detection at the Block Level,M. Bulychev; N. G. Marchant; B. I. P. Rubinstein,2026,2026 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),10.1109/WACV61042.2026.00716,https://ieeexplore.ieee.org/abstract/document/11492623/?casa_token=mopRHsKmYagAAAAA:pKedwJJH-M9dPoz-BvDSebm2FeJxWThWW5J_HC9jRrRlIUFhCjU-VU86d9e57FlC9nptZZkZ,Post-hoc image watermarking with region-level interpretability; confirmed image medium.
FLEXMark: Evaluating Watermark Robustness and Attribution Reliability Under Redistribution and Adaptive AI Laundering,N. E. Nicholas; F. Rustam; A. D. Jurcut,2026,2026 IEEE Symposium on Security and Privacy Workshops (SPW),10.1109/SPW72489.2026.00028,https://ieeexplore.ieee.org/abstract/document/11573758/?casa_token=m07SlSu4PBUAAAAA:EGuzJjqsj3setGvwg256VxD4LaSosrSf2LR7orPAXLWMVh6QntqUxDGKqR1puVE7bfrE-Mtr,"Evaluation framework for image watermarking robustness/attribution; no new method for a specific artifact, and confirmed image medium."
Watermarks in the sand: Impossibility of strong watermarking for generative models,"H Zhang, BL Edelman, D Francati, D Venturi…",2023,arXiv preprint arXiv …,,https://openreview.net/forum?id=bM2s12t4hR,Generic theoretical impossibility result for watermarking any generative model's output; no code-specific connection.
Watermarking Fine-Tuning Datasets for Robust Provenance,"Gergov, Ivo; Tsochev, Georgi",2025,Applied Sciences (Switzerland),10.3390/app151910457,https://www.mdpi.com/2076-3417/15/19/10457,"Corpus-level watermark for generic LLM fine-tuning datasets, tested on generated text; not code-specific."
From compile to decompile: efficient watermark removal via source-to-source transformations; [从编译到反编译: 基于源码级转换的高效水印去除方法],"Huang, Hao; Zhou, Ruihua; Luo, Jiatang; Ma, Xiaohuan; Li, Yunpeng; Liu, Yuling",2025,Scientia Sinica Informationis,10.1360/SSI-2025-0255,https://www.sciengine.com/doi/pdf/648FBE40CC4F4C26940FE994055E8173,"Proposes a watermark-removal attack (DeMark) rather than a watermarking method; independent evaluation/attack study retained for robustness context, not counted as primary."
Watermarking training data of music generation models,"P Epple, I Shilov, B Stevanoski…",2024,arXiv preprint arXiv …,,https://arxiv.org/abs/2412.08549,"Audio watermarking to trace training-data use in music generation models; wrong medium (audio), not code."
Removing the Watermark Is Not Enough: Forensic Stealth in Generative-AI Watermark Removal,"YN Goonatilake, G Ateniese",2026,arXiv preprint arXiv:2605.09203,,https://arxiv.org/abs/2605.09203,"Evaluation of image watermark-removal attacks' forensic detectability; no new watermarking method, and confirmed image medium."
Stealing Watermarks of Large Language Models via Mixed Integer Programming,"Zhang, Zhaoxi; Zhang, Xiaomei; Zhang, Yanjun; Zhang, Leo Yu; Chen, Chao; Hu, Shengshan; Gill, Asif; Pan, Shirui",2024,"Proceedings - Annual Computer Security Applications Conference, ACSAC",10.1109/ACSAC63791.2024.00021,https://ieeexplore.ieee.org/document/10917955,Duplicate (published version) of the natural-language green/red-list watermark-stealing attack above; not code-specific.
Detecting AI-Generated Source Code in Student Assignments Using Steganographic Watermarks,"Horvath, Marek; Bubenkova, Lenka; Pietrikova, Emilia; Corba, Matej",2025,"ICETA 2025 - 23rd Year of International Conference on Emerging eLearning Technologies and Applications, Proceedings",10.1109/ICETA67772.2025.11280274,https://ieeexplore.ieee.org/document/11280274,"Embeds hidden student identifiers into assignment files for plagiarism detection; the watermark signal identifies the student, not the LLM as the source of the code, so it falls outside the review's active-provenance scope, and reporting lacks sufficient technical/experimental detail."
DeepVerifier: Robust Watermarking of Deep Neural Networks Based on Black-Box and White-Box Reasoning,T. Tyagi; K. N. Singh; A. K. Singh; B. B. Gupta,2025,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2025.3601855,https://ieeexplore.ieee.org/document/11159508,"DNN model watermarking framework; verifies the model, not generated code."
SecurePoL: Integration of Watermarking With Proof-of-Learning to Enhance Security Against Spoofing Attacks,"Ural, Ozgur; Yoshigoe, Kenji",2025,IEEE Access,10.1109/ACCESS.2025.3642198,https://ieeexplore.ieee.org/document/11293969,"Combines Proof-of-Learning with model watermarking, evaluated on an image classifier (CIFAR-10/ResNet); verifies model/training provenance, not generated code."
WRATH: Turning Watermark Robustness Against Itself via a Watermark-Agnostic Black-Box Invalidation Attack,N. Jiang; J. Hu; B. Sun; T. Sim; J. Han,2026,2026 IEEE Symposium on Security and Privacy (SP),10.1109/SP63933.2026.00197,https://ieeexplore.ieee.org/document/11573391,"Attack on image watermarking schemes; no new watermarking method, confirmed image medium."
Evaluating the security of public surrogate watermark detectors,C. Imadache; E. Giboulot; T. Furon,2025,"ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP49660.2025.10889821,https://ieeexplore.ieee.org/document/10889821,"Security evaluation of surrogate multimedia (image) watermark detectors; no new watermarking method, not code-specific."
Meta-Watermarking for Detection Recovery under Attack Shift: Empirical Analysis of FOMAML-Based Fast Adaptation,H. G. Yun; J. M. Park; H. Y. Kim,2026,IEEE Access,10.1109/ACCESS.2026.3731045,https://ieeexplore.ieee.org/document/11679097,Meta-learning recovery framework for diffusion-model (image) watermark detectors; confirmed image medium.
SARW: A Secure Semantic Watermarking Framework for Data Ownership and Attribution in RAG Knowledge Bases,Y. Wang; Z. Zhang; Z. Qin; Z. Wang; Z. Li; L. Zhu,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2026.3705017,https://ieeexplore.ieee.org/document/11570024,Text watermarking for RAG knowledge-base documents; not code-specific.
Division and Union: Latent Model Watermarking,"Dai, Zhiyang; Gao, Yansong; Kuang, Boyu; Zheng, Yifeng; Mian, Ajmal; Wang, Ruimin; Fu, Anmin",2025,IEEE Transactions on Information Forensics and Security,10.1109/TIFS.2025.3607234,https://ieeexplore.ieee.org/document/11153578,"DNN model watermarking (combines black-box and white-box techniques); verifies the model, not generated code."
Ownership Verification of Your NLG Models With Semantic Combination Watermarks,C. Xie; T. Xiang; S. Guo; B. Chen; N. Wang; J. Li; T. Zhang,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3627978,https://ieeexplore.ieee.org/document/11223712,"Watermarks a natural-language-generation model itself for ownership verification; verifies the model, not a code artifact, and content is text."
NWaaS: A Non-Intrusive and Privacy-Preserving Watermarking-As-a-Service System With Adaptive Resource Scheduling,H. An; Q. Ren; G. Hua; T. Li; Y. Guo; Y. Ma; H. Cao; Y. Fang,2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2026.3717448,https://ieeexplore.ieee.org/document/11625983,"DNN watermarking-as-a-service for MLaaS IP protection; verifies the model, not generated code."
Dual-Locking Learned AI Models: A PIN-Based Sparse QIM Watermarking and Adaptive Index Permutation Approach,I. Vasic; J. Muñoz-Cádiz; B. Vasic,2026,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2025.3636862,https://ieeexplore.ieee.org/document/11269351,"Locks/watermarks a trained neural network's parameters; verifies the model, not generated code."
Lattice-Quantization Identity Watermarking for Deep Neural Network Ownership Protection,Y. Xu; Z. Li; S. Lyu,2026,IEEE Access,10.1109/ACCESS.2026.3729692,https://ieeexplore.ieee.org/document/11675784,"DNN backdoor-based ownership watermarking; verifies the model, not generated code."
Artificial Intelligence (AI) and Machine Learning (ML) for Next-Generation Digital Watermarking Systems,M. Zamani; M. N. Dehkordi; R. Hilal; M. Alizadeh; S. S. M. Ziabari; S. Karamizadeh; S. S. Chaeikar; T. Khodadadi,2026,"2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)",10.1109/ICECET65726.2026.11632411,https://ieeexplore.ieee.org/document/11632411,"Survey of AI/ML-based watermarking across image, audio, and medical domains; not code-specific."
A Robust DCT-Based Scheme for Watermarking Deep Neural Networks,Mohammed Baziyad; Ibrahim Kamel; Tamer Rabie; Grigory Kabatyansky,2024,Procedia Computer Science,10.1016/j.procs.2023.12.224,https://www.sciencedirect.com/science/article/pii/S1877050923022366,"DCT-based DNN weight watermarking; verifies the model, not generated code."
A surrogate ensemble fusion framework for robust watermark extraction in black-box models,Zhao Zhang; Senlin Luo; Fengtong Xing; Limin Pan,2026,Information Fusion,10.1016/j.inffus.2026.104547,https://www.sciencedirect.com/science/article/pii/S1566253526004252,"Watermark-extraction attack against DNN model watermarks; no new watermarking method, verifies the model."
PoWBWM: Proof of work consensus cryptographic blockchain-based adaptive watermarking system for tamper detection applications,P. Aberna; L. Agilandeeswari,2025,Alexandria Engineering Journal,10.1016/j.aej.2024.10.016,https://www.sciencedirect.com/science/article/pii/S1110016824011694,Blockchain watermarking for HDR image tamper detection; confirmed image medium.
Deep fidelity in DNN watermarking: A study of backdoor watermarking for classification models,Guang Hua; Andrew Beng Jin Teoh,2023,Pattern Recognition,10.1016/j.patcog.2023.109844,https://www.sciencedirect.com/science/article/pii/S0031320323005423,"Studies fidelity of backdoor watermarking for deep image-classification models; verifies the model, not generated code."
"When deep learning meets watermarking: A survey of application, attacks and defenses",Huajie Chen; Chi Liu; Tianqing Zhu; Wanlei Zhou,2024,Computer Standards & Interfaces,10.1016/j.csi.2023.103830,https://www.sciencedirect.com/science/article/pii/S0920548923001113,Survey of DNN model watermarking and image watermarking; not code-specific.
Compression is no barrier: Dataset copyright protection with compression-resistant backdoor watermarks,Hewang Nie; Xuemei Yuan,2025,Information Processing & Management,10.1016/j.ipm.2025.104260,https://www.sciencedirect.com/science/article/pii/S0306457325002018,Backdoor dataset watermarking evaluated on image datasets (MNIST/CIFAR); not code-specific.
DNN self-embedding watermarking: Towards tampering detection and parameter recovery for deep neural network,Gejian Zhao; Chuan Qin; Heng Yao; Yanfang Han,2022,Pattern Recognition Letters,10.1016/j.patrec.2022.10.013,https://www.sciencedirect.com/science/article/pii/S0167865522003063,"Fragile watermark for DNN parameter tamper-detection/recovery; verifies the model, not generated code."
Can we trust the source? A systematic review of watermarking and attribution for AI-generated code,"Fahad, Istiaq Ahmed; Fuad, Mridha Md. Nafis",2026,Information and Software Technology,10.1016/j.infsof.2026.108157,https://www.sciencedirect.com/science/article/pii/S0950584926001461,"Competing systematic literature review (secondary study) on the same topic; not a primary watermarking-method contribution, to be discussed in the related-work/discussion sections instead."
Defending against similarity shift attack for EaaS via adaptive multi-target watermarking,"Yang, Zuopeng; Chen, Pengyu; Li, Tao; Liu, Kangjun; Huang, Yuan; Lin, Xin",2024,Information Sciences,10.1016/j.ins.2024.120893,https://www.sciencedirect.com/science/article/pii/S0020025524008077,"Watermarks text-embedding vectors for an Embedding-as-a-Service; verifies the service/model, not generated code."
FedAWM: Adaptive watermark allocation in non-IID federated learning,Jiahao Sun; Xiaodong Yang; Shubai Chen; Xin Qin; Bixiao Zeng,2026,Knowledge-Based Systems,10.1016/j.knosys.2025.114938,https://www.sciencedirect.com/science/article/pii/S0950705125019768,"Federated-learning model-copyright watermarking; verifies the model, not generated code."
Applicability of various transform techniques in watermarking using Machine Learning Algorithm - A Systematic Analysis,Naman Garg; Laxmanika,2025,Procedia Computer Science,10.1016/j.procs.2025.04.145,https://www.sciencedirect.com/science/article/pii/S1877050925012475,Survey of ML-based watermarking explicitly for images and videos; confirmed image/video medium.
MISPSO-Attack: An efficient adversarial watermarking attack based on multiple initial solution particle swarm optimization,Xianyu Zuo; Xiangyu Wang; Wenbo Zhang; Yadi Wang,2023,Applied Soft Computing,10.1016/j.asoc.2023.110777,https://www.sciencedirect.com/science/article/pii/S1568494623007950,Adversarial watermarking attack evaluated on ImageNet; confirmed image medium.
FedCRMW: Federated model ownership verification with compression-resistant model watermarking,Hewang Nie; Songfeng Lu,2024,Expert Systems with Applications,10.1016/j.eswa.2024.123776,https://www.sciencedirect.com/science/article/pii/S0957417424006420,"Federated-learning model-ownership watermarking; verifies the model, not generated code."
A novel model watermarking for protecting generative adversarial network,Tong Qiao; Yuyan Ma; Ning Zheng; Hanzhou Wu; Yanli Chen; Ming Xu; Xiangyang Luo,2023,Computers & Security,10.1016/j.cose.2023.103102,https://www.sciencedirect.com/science/article/pii/S0167404823000123,"Model watermarking specifically for GANs (image-generation models); verifies the model, confirmed image-generative context."
FedRPW: Robust and privacy-compliant watermarking framework for federated model ownership protection,Lujia Shi; Youliang Tian; Kunlong Jin; Shuai Wang; Changgen Peng; Zhou Zhou,2025,Information Sciences,10.1016/j.ins.2025.122636,https://www.sciencedirect.com/science/article/pii/S0020025525007698,"Federated-learning model-ownership watermarking; verifies the model, not generated code."
