source,title,authors,year,venue,doi,url,abstract
ACM Digital Library,An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,Shuguang Yuan; Xingyu Su; Peizhuo Lv; Weiji Xue; Jing Yu; Xiaojie Zhu; Chi Chen,2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3711896.3736841,https://doi.org/10.1145/3711896.3736841,"Online market platforms serve as a central hub for sharing and deploying AI models among researchers, developers, and companies. In this context, watermarking techniques are essential to protect intellectual property (IP), preventing unauthorized use and duplication of large language models (LLMs). Two key challenges arise: (i) These platforms host diverse LLMs, yet current watermarking techniques are only tailored to specific models, such as fine-tuned or quantized LLMs. (ii) Efficient watermarking is critical. However, traditional methods require substantial data and costly hardware, which limits their feasibility. In this paper, we propose an efficient white-box LLM watermarking technique called ELLMark. This method treats LLMs as multi-layered matrices while embedding watermarks only relies on modifying the model's weights. To preserve LLMs' performance, it filters weights by correlations with the activation magnitudes and downstream tasks, then modifies weights as minimal as possible via histogram modulation. Notably, all phases are training-free with low hardware resources, making it efficient for online platforms. We conduct extensive experiments to evaluate the effectiveness of ELLMark on LLaMA-3, OPT, and Phi-3 LLMs. The results demonstrate that it achieves 100% success in watermark detection while preserving model performance. Moreover, the preprocessing, encoding, and decoding processes remain efficient, taking less than 7 minutes, 12 minutes, and 18 seconds, respectively, for models with 80B parameters. Lastly, it exhibits robustness against parameter overwriting, re-watermarking, forging, fine-tuning, and pruning attacks."
ACM Digital Library,WatermarkGuard: Token Distribution Watermarking with Semantic Protection and Robustness Verification for LLM Intellectual Property Protection,Jiahao Fu; Xingjun Chen; Renyan Lu,2026,Proceedings of the 2026 International Conference on Computer Technology and Sustainable Development,10.1145/3814210.3814215,https://doi.org/10.1145/3814210.3814215,"The widespread deployment of large language models (LLMs) has intensified concerns over intellectual-property ownership, as generated text can be reproduced or redistributed without attribution. Existing watermarking approaches suffer from three critical limitations: (1) uniform token-distribution perturbation that ignores semantic importance, leading to degraded text quality at high watermark strength; (2) fragile detection statistics that collapse rapidly under common post-generation attacks such as synonym substitution and paraphrasing; and (3) the absence of a joint certification metric that simultaneously captures semantic fidelity and adversarial robustness. To overcome these limitations, we propose WatermarkGuard, a semantics-aware token distribution watermarking framework for LLM intellectual-property protection. Our key contributions are threefold: (1) a per-token semantic sensitivity weight that concentrates the watermark signal in semantically peripheral tokens, minimising KL divergence while preserving BERTScore; (2) an inverse-weight detection statistic that recovers statistical power from semantically critical tokens, yielding graceful Z-score degradation under adversarial manipulation; and (3) a Robustness-Quality Score (mathcal R) that certifies ownership across the full spectrum of attack intensities. Extensive experiments on four LLM backbones across six domains demonstrate that WatermarkGuard achieves a TPR of 0.923 at FPR = 1%, an AUC of 0.974, and retains a TPR of 0.691 under 50% synonym substitution, substantially outperforming all baselines."
ACM Digital Library,CodeWMBench: An Automated Benchmark for Code Watermarking Evaluation,BenLong Wu; Kejiang Chen; Yanru He; Guoqiang Chen; Weiming Zhang; Nenghai Yu,2024,Proceedings of the ACM Turing Award Celebration Conference - China 2024,10.1145/3674399.3674447,https://doi.org/10.1145/3674399.3674447,"As deep learning progresses, programming language generation models such as CodeLlama, GitHub Copilot, and ChatGPT have been widely applied to intelligent code development. However, this also reduces the cost of code plagiarism, posing challenges to copyright and academic integrity. In response to the specific needs for human-machine code detection, this paper introduces a comprehensive automated benchmark CodeWMBench for active detection of human-machine code through watermarking. With a meticulous evaluation of eight code watermarking methods, we demonstrated their performance in terms of harmlessness, robustness, and transparency. Specifically, for the first time, we introduced watermark removal techniques based on large language models and conducted the first assessment of these watermarking methods against code rewriting and retranslating attacks. In the discussion, we delved into the critical issues currently facing code watermarking, including why existing code watermarking methods struggle to resist removal by large language models and potential future methods that could withstand such removals."
ACM Digital Library,Backdoor Watermarking for Continuous Prompt Learning Models in Industrial Systems,Kongyang Chen; Chuwen Pang; Xiaolin Wang; Tiancai Liang; Jiaxing Shen,2026,ACM Trans. Auton. Adapt. Syst.,10.1145/3820766,https://doi.org/10.1145/3820766,"Large Language Models (LLMs) are becoming key enablers in adaptive and autonomous systems, particularly under the paradigm of Industry 5.0, where human-centric design and generative Artificial Intelligence (AI) technologies are increasingly deployed. However, the widespread of LLMs raises serious intellectual property concerns, especially in few-shot learning scenarios where model customization is achieved through continuous prompt tuning. Traditional watermarking methods fail to protect such models due to their limited data access and fixed model parameters. To address this challenge, we propose a novel backdoor-based watermarking framework tailored for continuous prompt learning in few-shot settings. Our method leverages semantic-aware trigger generation and adaptive trigger assignment to embed robust and invisible behavioral watermarks without compromising model performance. Specifically, we introduce a semantic alignment mechanism to generate and filter watermark triggers. We also present an adaptive strategy to assign optimal triggers based on decision boundary proximity. Experimental results across various NLP tasks demonstrate high watermark detection accuracy, minimal impact on model utility, and resilience to adversarial removal. This work contributes a practical and effective approach to copyright protection for generative AI models in Industry 5.0 systems."
ACM Digital Library,Watermarking Large Vision-Language Models: The Vision Encoder is all You Need,Boussad Addad; Katarzyna Kapusta; Olivier Bettan,2026,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security,10.1145/3785353.3815079,https://doi.org/10.1145/3785353.3815079,"As large vision-language models (VLMs) see increasing adoption, the need for robust ownership verification becomes essential. However, training or fine-tuning these models is computationally intensive, making traditional watermarking approaches impractical. To address this, we introduce a lightweight, black-box watermarking technique that focuses solely on the vision encoder of the VLM, significantly reducing the resource requirements. By leveraging the bi-modal capabilities of VLMs, our method embeds owner-specific information by pairing a particular text prompt with a relevant image. When presented with this unique text-image combination and asked, ""Who is your owner?"", the model produces an explicit answer identifying its owner. This does not require access to model weights. We validated our approach on several models and demonstrated how it enables efficient and reliable watermark verification, all while bypassing the need to retrain or fine-tune the entire model."
ACM Digital Library,Where Watermark Meets Beauty: Expert-Guided Aesthetic Visible Watermarking for Digital Artworks,Changjuan Ran; Fang Liu; Runqi Fang; Xiangyu Meng; Shenglan Cui; Yunfan Ye,2025,Proceedings of the 33rd ACM International Conference on Multimedia,10.1145/3746027.3754738,https://doi.org/10.1145/3746027.3754738,"In the era of widespread digital art dissemination, visible watermarks provide immediate copyright identification by overlaying visible markers, addressing the lag issue of invisible watermarks that are difficult to prevent in advance due to post hoc evidence collection, thus meeting artists' needs for preemptive prevention and explicit protection. However, existing approaches struggle to balance aesthetics and functionality. To address this challenge, we conducted an exploratory study with watermarking experts, identifying key principles, six common design patterns, and a systematic watermarking workflow. Based on these insights, we developed an end-to-end, perceptual-aware framework for aesthetic-preserving watermark embedding, modeled after expert workflows in 5 phases. Using the Chain-of-Thought strategy, we optimized prompt instructions to guide the Vision-Language Model in emulating experts' decision-making, generating effective watermarking schemes and conducting objective visual evaluations. Iterative feedback optimization ensures watermarked images adhere to aesthetic principles. Quantitative and qualitative experiments demonstrate the system's superiority over baseline methods in preserving aesthetics and ensuring effective copyright protection."
ACM Digital Library,DeCoMa: Detecting and Purifying Code Dataset Watermarks through Dual Channel Code Abstraction,Yuan Xiao; Yuchen Chen; Shiqing Ma; Haocheng Huang; Chunrong Fang; Yanwei Chen; Weisong Sun; Yunfeng Zhu; Xiaofang Zhang; Zhenyu Chen,2025,Proc. ACM Softw. Eng.,10.1145/3728952,https://doi.org/10.1145/3728952,"Watermarking is a technique to help identify the source of data points, which can be used to help prevent the misuse of protected datasets. Existing methods on code watermarking, leveraging the idea from the backdoor research, embed stealthy triggers as watermarks. Despite their high resilience against dilution attacks and backdoor detections, the robustness has not been fully evaluated. To fill this gap, we propose DeCoMa, a dual-channel approach to Detect and purify Code dataset waterMarks. To overcome the high barrier created by the stealthy and hidden nature of code watermarks, DeCoMa leverages dual-channel constraints on code to generalize and map code samples into standardized templates. Subsequently, DeCoMa extracts hidden watermarks by identifying outlier associations between paired elements within the standardized templates. Finally, DeCoMa purifies the watermarked dataset by removing all samples containing the detected watermark, enabling the silent appropriation of protected code. We conduct extensive experiments to evaluate the effectiveness and efficiency of DeCoMa, covering 14 types of code watermarks and 3 representative intelligent code tasks (a total of 14 scenarios). Experimental results demonstrate that DeCoMa achieves a stable recall of 100% in 14 code watermark detection scenarios, significantly outperforming the baselines. Additionally, DeCoMa effectively attacks code watermarks with embedding rates as low as 0.1%, while maintaining comparable model performance after training on the purified dataset. Furthermore, as DeCoMa requires no model training for detection, it achieves substantially higher efficiency than all baselines, with a speedup ranging from 31.5"
ACM Digital Library,The Watermark Paradox: How Provenance Verification Paves the Road to Camouflaged Backdoors,Haoyi Zhang; Huaijin Ran; Kisub Kim; Xunzhu Tang,2026,Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,10.1145/3803437.3805553,https://doi.org/10.1145/3803437.3805553,"As large language models become integral to software development, the research community has invested heavily in watermarking techniques to establish provenance of AI-generated code. This paper offers a critical reflection on this trajectory. We argue that watermarking and backdooring are structurally isomorphic problems: both embed hidden signals into output distributions while preserving semantic equivalence. The infrastructure we build to verify trustworthy provenance signals inadvertently trains developers to accept code containing opaque, statistically detectable patterns—the precise characteristics of sophisticated backdoors. Rather than proposing yet another attack, we call attention to a collective misstep: as a community, we are building trust infrastructure on the wrong foundation. We advocate for a paradigm shift toward functional verification—a direction that LLMs themselves now make economically viable for the first time."
ACM Digital Library,Securing Large Language Models: A Survey of Watermarking and Fingerprinting Techniques,Peigen Ye; Huali Ren; Zhengdao Li; Anli Yan; Hongyang Yan; Shaowei Wang; Jin Li,2026,ACM Comput. Surv.,10.1145/3773028,https://doi.org/10.1145/3773028,"State-of-the-art watermarking and fingerprinting techniques for Large Language Models (LLMs) are explored, with our analysis spanning a wide array of methodologies designed to protect the intellectual property of LLMs. The review of watermarking techniques is based on embedding watermarks during the training, logits generation, and token sampling phases. Meanwhile, we investigate the application of watermarking technology in multimodal LLMs and potential attacks on watermarks. Moreover, our examination of fingerprinting techniques revealed the ingenuity behind methods used to identify LLMs. We discussed the development of fingerprints based on model behavior and using deep learning models to learn thresholds for fingerprint comparison. Our survey has underscored the importance of advancing security measures for LLMs, especially in light of the increasing sophistication of adversarial attacks. As LLMs continue to play a pivotal role in advancing AI technologies, developing and refining security measures that safeguard their intellectual property and ensure their ethical deployment is imperative."
ACM Digital Library,Insecure AI Image Watermarking - Is it Really Damaging The Future?,Ankur Deshpande; Vineeth Billa Kanti,2026,Proceedings of the 2025 9th International Conference on Computer Science and Artificial Intelligence,10.1145/3788149.3788154,https://doi.org/10.1145/3788149.3788154,"The rapid advancement of generative artificial intelligence (AI) has revolutionized image creation, enabling the production of hyper realistic visuals that are becoming increasingly indistinguishable from genuine photographs. While this technology enhances creative capabilities, it also introduces significant risks related to misinformation, privacy breaches, and the erosion of public trust. This study addresses the urgent challenge of securing AI-generated images against manipulation, unauthorized distribution, and adversarial attacks by proposing a multilayered content authentication framework. Conceptual qualitative methodology was employed to analyze academic literature, encryption protocols, and tools such as Google's SynthID and Samsung's Magic Editor. The analysis revealed that current watermarking techniques are easily removable and lack of interoperability across platforms. To overcome these challenges, the study proposes a secure a watermarking approach for AI-generated images that ensures logos embedded by large language models (LLMs) remain uneditable by end users using Discrete Wavelet Transform (DWT)-based watermarking, Digital Rights Management (DRM), adaptive machine-learning classifiers, and blockchain-verified digital signatures. The importance of this study lies in its interdisciplinary nature, integrating technological, ethical, and regulatory aspects to deal with the emerging threats from synthetic media. Through the promotion of standardized, interoperable, and legally backed verification systems, the research contributes to the establishment of reliable AI-generated content and also emphasizes the necessity of international cooperation among policymakers, researchers, and industry leaders to counter the threats of AI-generated misinformation."
ACM Digital Library,Evading Watermark based Detection of AI-Generated Content,Zhengyuan Jiang; Jinghuai Zhang; Neil Zhenqiang Gong,2023,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3576915.3623189,https://doi.org/10.1145/3576915.3623189,"A generative AI model can generate extremely realistic-looking content, posing growing challenges to the authenticity of information. To address the challenges, watermark has been leveraged to detect AI-generated content. Specifically, a watermark is embedded into an AI-generated content before it is released. A content is detected as AI-generated if a similar watermark can be decoded from it. In this work, we perform a systematic study on the robustness of such watermark-based AI-generated content detection. We focus on AI-generated images. Our work shows that an attacker can post-process a watermarked image via adding a small, human-imperceptible perturbation to it, such that the post-processed image evades detection while maintaining its visual quality. We show the effectiveness of our attack both theoretically and empirically. Moreover, to evade detection, our adversarial post-processing method adds much smaller perturbations to AI-generated images and thus better maintain their visual quality than existing popular post-processing methods such as JPEG compression, Gaussian blur, and Brightness/Contrast. Our work shows the insufficiency of existing watermark-based detection of AI-generated content, highlighting the urgent needs of new methods. Our code is publicly available: https://github.com/zhengyuan-jiang/WEvade."
ACM Digital Library,SLIC: Secure Learned Image Codec through Compressed Domain Watermarking to Defend Image Manipulation,Chen-Hsiu Huang; Ja-Ling Wu,2024,Proceedings of the 6th ACM International Conference on Multimedia in Asia,10.1145/3696409.3700161,https://doi.org/10.1145/3696409.3700161,"The digital image manipulation and advancements in Generative AI, such as Deepfake, has raised significant concerns regarding the authenticity of images shared on social media. Traditional image forensic techniques, while helpful, are often passive and insufficient against sophisticated tampering methods. This paper introduces the Secure Learned Image Codec (SLIC), a novel active approach to ensuring image authenticity through watermark embedding in the compressed domain. SLIC leverages neural network-based compression to embed watermarks as adversarial perturbations in the latent space, creating images that degrade in quality upon re-compression if tampered with. This degradation acts as a defense mechanism against unauthorized modifications. Our method involves fine-tuning a neural encoder/decoder to balance watermark invisibility with robustness, ensuring minimal quality loss for non-watermarked images. Experimental results demonstrate SLIC’s effectiveness in generating visible artifacts in tampered images, thereby preventing their redistribution. This work represents a significant step toward developing secure image codecs that can be widely adopted to safeguard digital image integrity."
ACM Digital Library,Do Modern Post-Hoc Watermarking Methods Beat Broken-Arrows?,Enoal Gesny; Eva Giboulot,2026,Proceedings of the 2026 ACM Workshop on Information Hiding and Multimedia Security,10.1145/3785353.3815081,https://doi.org/10.1145/3785353.3815081,"With the rapid proliferation of generative models, such as diffusion models, digital watermarking has emerged as a crucial solution for identifying AI-generated images. Modern post-hoc watermarking schemes use neural networks to achieve an extremely low false-alarm rate while remaining robust to common image transformations. However, there is a lack of comparison between these modern methods and classic ones, particularly in real-world scenarios where robustness and security take precedence over achieving an extremely low false-alarm probability. In this paper, we propose a fair comparison of robustness and security between modern and classic post-hoc watermarking across various types of classic augmentations and recent sophisticated attacks. Our experiments show that, in a realistic scenario, classic watermarking outperforms modern techniques in terms of security while maintaining robustness."
ACM Digital Library,AGMark: Attention-Guided Dynamic Watermarking for Large Vision-Language Models,Yue Li; Xin Yi; Dongsheng Shi; Yongyi Cui; Gerard de Melo; Linlin Wang,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,10.1145/3770855.3817700,https://doi.org/10.1145/3770855.3817700,"Watermarking has emerged as a pivotal solution for content traceability and intellectual property protection in large vision language models (LVLMs). However, vision-agnostic watermarks may introduce visually irrelevant tokens and disrupt visual grounding by enforcing indiscriminate pseudo-random biases. Additionally, current vision-specific watermarks rely on a static, one-time estimation of vision-critical weights and ignore the weight distribution density when determining the proportion of protected tokens. This design fails to account for dynamic changes in visual dependence during generation and may introduce low-quality tokens in the long tail. To address these challenges, we propose Attention-Guided Dynamic Watermarking (AGMark), a novel framework that embeds detectable signals while largely preserving visual-semantic fidelity. At each decoding step, AGMark first dynamically identifies semantic-critical evidence based on attention weights for visual relevance, together with context-aware coherence cues, resulting in a more adaptive and well-calibrated evidence-weight distribution. It then determines the proportion of semantic-critical tokens by jointly considering uncertainty awareness (token entropy) and evidence calibration (weight density), thereby enabling more reliable adaptive vocabulary partitioning to avoid irrelevant tokens. Empirical results consistently confirm that AGMark outperforms conventional methods, substantially improving generation quality and yielding particularly strong gains in visual semantic fidelity in the later stages of generation. Our framework maintains highly competitive detection performance (at least 99.36% AUC) and robust attack resilience (at least 88.61% AUC) without sacrificing inference efficiency, taking a significant step toward reliability-preserving multimodal watermarking."
