title,authors,year,venue,doi,url,abstract,inclusion_reason,evaluation
CodeIP: A Grammar-Guided Multi-Bit Watermark for Large Language Models of Code,"Guan, Batu; Wan, Yao; Bi, Zhangqian; Wang, Zheng; Zhang, Hongyu; Zhou, Pan; Sun, Lichao",2024,"EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2024",10.18653/v1/2024.findings-emnlp.541,https://aclanthology.org/2024.findings-emnlp.541/,"Large Language Models (LLMs) have achieved remarkable progress in code generation.It now becomes crucial to identify whether the code is AI-generated and to determine the specific model used, particularly for purposes such as protecting Intellectual Property (IP) in industry and preventing cheating in programming exercises.To this end, several attempts have been made to insert watermarks into machine-generated code.However, existing approaches are limited to inserting only a single bit of information.In this paper, we introduce CODEIP, a novel multi-bit watermarking technique that inserts additional information to preserve crucial provenance details, such as the vendor ID of an LLM, thereby safeguarding the IPs of LLMs in code generation.Furthermore, to ensure the syntactical correctness of the generated code, we propose constraining the sampling process for predicting the next token by training a type predictor.Experiments conducted on a real-world dataset across five programming languages demonstrate the effectiveness of CODEIP in watermarking LLMs for code generation while maintaining the syntactical correctness of code. © 2024 Association for Computational Linguistics.","Introduces CodeIP, a multi-bit watermark that pairs message-dependent token partitioning with a type-predicting LSTM to keep generated code grammatically valid while encoding up to 20 bits. Published in Findings of EMNLP 2024.","7.5/10 — Solid type-aware multi-bit design with message-accuracy reporting, peer-reviewed at EMNLP 2024 Findings. Robustness is tested against only one attack (cropping), which is narrower than most of the corpus."
Efficient and Universal Watermarking for LLM-Generated Code Detection,"Li, Boquan; Fu, Zirui; Zhang, Mengdi; Zhang, Peixin; Sun, Jun; Wang, Xingmei",2026,IEEE Transactions on Software Engineering,10.1109/TSE.2026.3710556,https://ieeexplore.ieee.org/abstract/document/11595656/?casa_token=zPVqaqZ7Lf8AAAAA:GzEY-RhS-0fsGaYhsT32Q0qzDoKgfNPbtFvekUEwc8-8d-dz97CwCYvqEzgu92WDoHdLQX96,"Large language models (LLMs) have significantly enhanced the usability of AI-generated code, providing effective assistance to programmers. This advancement also raises ethical and legal concerns, such as academic dishonesty and the generation of malicious code. For accountability, it is imperative to detect whether a piece of code is AI-generated. Watermarking is broadly considered a promising solution and has been successfully applied to identify LLM-generated text. However, existing efforts on code are far from ideal, suffering from limited universality and excessive time and memory consumption. In this work, we propose a plugand- play watermarking approach for AI-generated code detection, named ACW (AI Code Watermarking). ACW is training-free and works by selectively applying a set of carefully-designed, semantic-preserving and idempotent code transformations to LLM code outputs. The presence or absence of the transformations serves as implicit watermarks, enabling the detection of AI-generated code. Our experimental results show that ACW effectively and efficiently detects AI-generated code, preserves code utility, and is resilient against potential code disruptions. Especially, ACW is universal across different LLMs, addressing the limitations of existing approaches. © 1976-2012 IEEE.","Introduces ACW (AI Code Watermarking), a training-free watermark built from 46 semantic-preserving transformations applied deterministically in a secret order; presence is confirmed if reapplying them leaves the code unchanged. Published in IEEE Transactions on Software Engineering.","9.0/10 — Near-complete evaluation coverage: presence detection (TPR, accuracy, precision, F1), functional preservation, efficiency, and an unusually extensive robustness suite (Ruff toolkit with 103 or 369 transformations), training-free, published in IEEE Transactions on Software Engineering."
Who Wrote this Code? Watermarking for Code Generation,"Lee, Taehyun; Hong, Seokhee; Ahn, Jaewoo; Hong, Ilgee; Lee, Hwaran; Yun, Sangdoo; Shin, Jamin; Kim, Gunhee",2024,Proceedings of the Annual Meeting of the Association for Computational Linguistics,10.18653/v1/2024.acl-long.268,https://aclanthology.org/2024.acl-long.268/,"Since the remarkable generation performance of large language models raised ethical and legal concerns, approaches to detect machine-generated text by embedding watermarks are being developed. However, we discover that the existing works fail to function appropriately in code generation tasks due to the task's nature of having low entropy. Extending a logit-modifying watermark method, we propose Selective WatErmarking via Entropy Thresholding (SWEET), which enhances detection ability and mitigates code quality degeneration by removing low-entropy segments at generating and detecting watermarks. Our experiments show that SWEET significantly improves code quality preservation while outperforming all baselines, including post-hoc detection methods, in detecting machine-generated code text. Our code is available in https://github.com/hongcheki/sweet-watermark. © 2024 Association for Computational Linguistics.","Introduces SWEET, a foundational entropy-gated watermark for code: it applies a standard green-list/red-list bias only at high-entropy generation steps, leaving low-entropy syntax-critical positions untouched. Published at ACL 2024.","8.5/10 — Foundational method for the whole entropy-gated family, evaluated across five different benchmark resources and tested for robustness; the one gap is that no efficiency measurement is reported. Peer-reviewed at ACL 2024."
Practical and effective code watermarking for large language models,"Guo, Zhimeng; Cheng, Minhao",2025,Advances in Neural Information Processing Systems,,https://proceedings.neurips.cc/paper_files/paper/2025/hash/6b4cb812f234a92ab757d1544912b4a8-Abstract-Conference.html,"The rapid advancement of Large Language Models (LLMs) in code generation has raised significant attribution and intellectual property concerns. Code watermarking offers a potential solution but faces unique challenges due to programming languages' strict syntactic constraints and semantic requirements. To address these challenges, we introduce ACW (AST-guided Code Watermarking), a novel adaptive framework that leverages Abstract Syntax Tree (AST) analysis during training to learn watermark embedding strategies. Our framework identifies substitutable code components and strategically biases token selections to embed watermarks. We also propose a novel sampling scheme that distributes tokens between green/red lists according to semantic context, ensuring statistical distinguishability while preserving code functionality. Extensive experiments demonstrate that ACW achieves a significant improvement in watermark detection accuracy compared to existing methods, with negligible impact on code functionality. This adaptive framework offers a promising solution for effective and practical code watermarking in the age of LLMs. Our code is available at: https://github.com/TimeLovercc/code-watermark. © 2025 Neural information processing systems foundation. All rights reserved.","Introduces ACW (AST-guided Code Watermarking), a framework that derives 'branching entropy' from AST-level code transformations rather than from the model's own probability distribution, using a learned network to pick safe embedding positions and split their vocabularies. Published at NeurIPS 2025.","8.5/10 — Published at a top-tier venue (NeurIPS 2025) with broad multilingual benchmark coverage (HumanEval, MBPP, HumanEvalPack in Java/C++/JavaScript) and robustness testing against renaming and LLM-based paraphrasing."
Entropy-Aware Watermarking for Code Generation Models,"Shi, Ying; Bao, Siyuan; Wu, Hanzhou; Ye, Jingyu; Zhang, Xinpeng",2026,International Conference on Machine …,10.1007/978-981-95-7820-7_13,https://link.springer.com/chapter/10.1007/978-981-95-7820-7_13,"Watermark-based detection shows strong potential for identifying machine-generated content, but applying it to code generation is still hard due to low entropy and strict structure, which limit flexibility and cause a trade-off between quality and detectability. Existing methods like SWEET use fixed entropy thresholds. They cannot adjust to different levels of token uncertainty across coding contexts. To overcome this limitation, we propose Entropy-Aware Watermarking (EAW), a framework that dynamically modulates watermark embedding strength based on local entropy signals. Specifically, EAW amplifies the greenlist bias in high-entropy regions, such as variable names or comments, while reducing interference in low-entropy, syntax-critical parts to maintain the functional correctness of the code. This adaptive mechanism enables EAW to maintain code naturalness without sacrificing detection robustness. Extensive experiments across multiple benchmarks demonstrate that EAW consistently outperforms prior baselines in both watermark detectability and code quality retention, establishing a better trade-off between transparency and reliability in code watermarking. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Introduces EAW, which replaces a fixed green-list bias with a continuous, entropy-adaptive strength so uncertain positions carry a stronger signal while syntax-critical ones stay untouched. Published at ML4CS 2025 (Springer).","6.0/10 — Weakest empirical scope of the set: evaluated on a single model (Qwen2.5-Coder-3B), with its adaptive parameters re-tuned separately per dataset, and no robustness attacks applied at all."
Srcmarker: Dual-channel source code watermarking via scalable code transformations,"Yang, Borui; Li, Wei; Xiang, Liyao; Li, Bo",2024,Proceedings - IEEE Symposium on Security and Privacy,10.1109/SP54263.2024.00097,https://ieeexplore.ieee.org/abstract/document/10646683/?casa_token=VPdhcSMjF1UAAAAA:HAv3PIu77X3UUEXR-F57QLJqbCmN61qiy9n5x2fjncQNmH-Opo3Dk7UzArMXF-QcqxCszGk1,"The expansion of the open source community and the rise of large language models have raised ethical and security concerns on the distribution of source code, such as misconduct on copyrighted code, distributions without proper licenses, or misuse of the code for malicious purposes. Hence it is important to track the ownership of source code, in which watermarking is a major technique. Yet, drastically different from natural languages, source code watermarking requires far stricter and more complicated rules to ensure the readability as well as the functionality of the source code. Hence we introduce SrcMarker, a watermarking system to unobtrusively encode ID bitstrings into source code, without affecting the usage and semantics of the code. To this end, SrcMarker performs transformations on an AST-based intermediate representation that enables unified transformations across different programming languages. The core of the system utilizes learning-based embedding and extraction modules to select rule-based transformations for watermarking. In addition, a novel feature-approximation technique is designed to tackle the inherent non-differentiability of rule selection, thus seamlessly integrating the rule-based transformations and learning-based networks into an interconnected system to enable end-to-end training. Extensive experiments demonstrate the superiority of SrcMarker over existing methods in various watermarking requirements. © 2024 IEEE.","Introduces SrcMarker, which embeds a bitstring through two complementary channels, variable renaming and rule-based code transformations, using a learned selector and a unified mutable-AST pipeline across four languages. Published at IEEE S&P 2024.","9.5/10 — Most rigorous robustness protocol in the corpus (renaming at four levels, code transformations, dual-channel combinations, white- and black-box adaptive de-/re-watermarking), tested across four programming languages, published at a top-tier security venue (IEEE S&P 2024)."
A Code Generation Watermarking Method Based on Double Threshold,"He, Yunsong; Shi, Zhenkui; Zeng, Jiahao; Cao, Zhile; Chen, Jinxing; Hu, Xin",2025,Advanced Intelligent Computing Technology and Applications,10.1007/978-981-96-9812-7_22,https://link.springer.com/chapter/10.1007/978-981-96-9812-7_22,"Due to the rapid development and powerful capabilities demonstrated by large language models, they have attracted extensive attention in the fields of ethics, academia, and law. Embedding watermarks in the content generated by large language models can be used to determine whether a text is generated by a model. Watermarking technology has also become an important means of detecting machine-generated code. However, existing methods have several issues. On one hand, due to the relatively fixed nature of code-generated content, it is difficult to effectively embed watermarks. On the other hand, existing methods adopt simplistic strategies when dealing with code-generated texts. Such a rough approach fails to balance the quality of code generation and the effectiveness of watermark detection. Based on this, we propose a double-threshold watermarking method (DTW). This method fully considers the impact of entropy values on watermarks. During the generation phase, tokens are divided into high, medium, and low entropy intervals. And different watermarking strategies are employed, effectively balancing code quality and watermark embedding. Experimental results show that this method significantly improves watermark detection performance while maintaining code quality. At the same time, it exhibits stronger robustness and adaptability against attacks under different conditions, providing a better solution for watermarking techniques in code generation. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Introduces DTW, which extends entropy-gated watermarking with three operating regimes (green/yellow/red lists) instead of a single on/off threshold, adjusting bias strength more gradually to the model's uncertainty. Published by Springer.","7.0/10 — Clean, well-motivated extension of entropy-gated watermarking with three operating regimes instead of one threshold, but robustness is tested against only variable renaming — a single attack type."
Decomposition then watermarking: Enhancing code traceability with dual-channel code watermarking,"Lin, Haibo; Li, Zhong; Ji, Ruihua; Pan, Minxue; Zhang, Tian; Wu, Nan; Li, Xuandong",2026,Automated Software Engineering,10.1007/s10515-025-00561-1,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10515-025-00561-1&casa_token=hOxfl5z_ePsAAAAA:DxW0aFVjZmv1OmmwrMowF6EN2iOI6nq3HsCErC_zAf5lle6fxVsjXSJ6MWsWdZ7LnigRU7Gy_701OJn3,"Code watermarking has gained increasing attention for tracing the provenance of code with the rapid growth of the open-source community. Existing work on code watermarking has shown promising results yet still falls short, especially when a multi-bit watermark for encoding diverse information is required. In this paper, we propose DWC, a novel code watermarking method with highly watermark capacity. The key idea of DWC is to first decompose the code into natural and formal channels, then embed the watermark separately into each channel based solely on its respective information. As such, DWC reduces the mutual interference between these two channels and the impacts of irrelevant information within the code, thus enabling more effective transformations for embedding watermarks with higher capacity and robustness. Our extensive experiments on source code snippets in four programming languages (C, C++, Java, and Python) demonstrate the effectiveness, efficiency, and capability of DWC in embedding multi-bit watermarks, as well as the utility and robustness of the watermarked code it generates. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Introduces DWC, which decomposes code into separate natural and formal channels and embeds watermark bits independently in each to reduce mutual interference, enabling higher-capacity, more robust multi-bit watermarks. Tested across C, C++, Java, and Python; published in Automated Software Engineering.","8.0/10 — Good language diversity (tested across C, C++, Java, and Python) and a solid journal venue (Automated Software Engineering)."
CodeMark: Contextual and Natural Watermarking for Tracing Code Snippet Provenance,"Li, Wei; Yang, Borui; Sun, Yujie; Chen, Suyu; Chen, Yuting; Xiang, Liyao",2025,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3594599,https://ieeexplore.ieee.org/abstract/document/11106704/?casa_token=BbYs2M8_Qm8AAAAA:Yr1wr-vxn2TX5CqAejM8mGteuJzvp0uXdn9Kvv81QZwJe2X0nvk53DUuGfAEaxn_QYlW71uN,"Determining the origins of code snippets has gained increasing attention due to the popularity of large language models and the concern about their misuse in generating unlicensed or malicious code. Watermarking is considered a working solution for tracing code snippet provenance. However, source code watermarking requires more stringent and intricate rules than natural language or software watermarking, since one needs to ensure both readability and functionality of the watermarked code snippets. To this end, we propose a novel watermarking system CodeMark, featured by variable renaming as the key. Surrounding variable renaming, several challenges emerge such as determining renaming candidates, defining the variable context, and providing diverse variable substitutes, etc. The design of CodeMark conquers these challenges by an end-to-end learning system, which interprets the code context through Graph Neural Networks (GNNs) and generates natural substitutes fitting the context by distilling from CodeBERT. Experiments illustrate that CodeMark surpasses the state-of-the-art watermarking systems in terms of watermarking requirements. © 2004-2012 IEEE.","Introduces CodeMark, a learned post-generation watermark that renames variables based on their AST context to embed a recoverable multi-bit provenance identifier, without needing the original code for extraction. Published in IEEE Transactions on Dependable and Secure Computing.","7.0/10 — Published in a solid journal (IEEE TDSC), but its test samples are existing repository functions rather than independently generated LLM outputs, and the functional-preservation claim relies on syntax-checking and code-similarity metrics rather than compiling or executing the code."
Adaptive Code Watermarking Through Reinforcement Learning,"Z Guo, H Zhu, S Xu, H Zhang, T Xiao, M Cheng",,openreview.net,,https://openreview.net/forum?id=4msXyRezc2,"Protecting intellectual property on LLM-generated code necessitates effective watermarking systems that can operate within code's highly structured, syntactically constrained nature. In this work, we introduce CodeTracer, an innovative adaptive code watermarking framework underpinned by a novel reinforcement learning training paradigm. At its core, CodeTracer features a policy-driven approach that utilizes a parameterized model to intelligently bias token choices during next-token prediction. This strategy ensures that embedded watermarks maintain code functionality while exhibiting subtle yet statistically detectable deviations from typical token distributions. To facilitate policy learning, we devise a comprehensive reward system that seamlessly integrates execution feedback with watermark embedding signals, balancing process-level and outcome-level rewards. Additionally, we employ Gumbel Top-k reparameterization to enable gradient-based optimization of discrete watermarking decisions. Extensive comparative evaluations demonstrate CodeTracer's significant superiority over state-of-the-art baselines in both watermark detectability and the preservation of generated code's functionality. Our code is available at https://anonymous.4open.science/r/CodeTracer-B8EE.","Introduces CodeTracer, which trains a reinforcement-learning policy to decide both whether a generation step should carry a watermark and how to bias it, using execution and detectability rewards instead of hand-crafted syntax rules. Accepted at ICML 2026.",8.0/10 — Accepted at a top-tier venue (ICML 2026); combines execution and detectability rewards in training. The learned selection criterion is less interpretable than methods using explicit syntax rules.
ASLang: Compiler-Driven Watermark Injection and Detection for Traceable AI Content Generation,"Li, Minghui; Li, Yang; Fang, Liming",2026,IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2026.3714372,https://ieeexplore.ieee.org/abstract/document/11617198/?casa_token=nHYSUCtK7XoAAAAA:N7KM9_3kPLkCmlRBhU5qAg_EGyCUAEN7W1U6nIdMp9iarlgLuW4y8K0BsflMt5bjeNnNUTUT,"The rapid spread of large language models has made AI generated text and code increasingly pervasive, which in turn makes reliable attribution and traceability a pressing requirement. Existing watermarking methods are promising, but most rely on retraining, finetuning, or direct control over the model, assumptions that are increasingly unrealistic in the LLM era due to closed commercial deployment and the high cost of model adaptation. In this paper, we present ASLang, a compiler driven watermark injection and detection framework for traceable AI content generation. Instead of modifying the model during training, ASLang binds a keyed watermarking process directly to the compiled decode path, turning deployment compilation itself into an attribution channel from protected artifact to final output. Implemented in TVM, ASLang supports both natural language and code generation under a unified framework, and enables output only verification without requiring access to prompts, logits, or model internals. Experiments on TinyLlama and TinyStories-33M show that ASLang consistently outperforms representative baselines in detectability on both text and code, while maintaining favorable quality retention, robustness under lightweight post processing, and low deployment overhead. These results demonstrate that compiler stage watermarking is a practical and effective path toward controllable and traceable AI generation. © 2026 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.","Introduces ASLang, a compiler-level watermarking framework that injects a keyed token-preference bias directly into the TVM-compiled decode path of a generative transformer, rather than modifying training or requiring access to prompts, logits, or model internals at verification time. Supports both natural-language and code generation under one mechanism, with output-only verification via a sequence-level statistical test on the generated token sequence. Published (accepted) in IEEE Transactions on Dependable and Secure Computing.","8.5/10 — Peer-reviewed with an unusually comprehensive evaluation spanning both natural-language and code generation, three decoding modes, a quality-retention trade-off analysis, robustness under lightweight post-processing (variable renaming, comment removal, formatting), deployment-overhead measurement, and a component ablation. Docked slightly for testing only one primary backbone model (TinyLlama) and function/script-level code prompts rather than diverse real-world repositories or multiple LLM families."
