usage_id,resource_id,method_id,use_role,languages_used,sample_or_split_details,notes,source_location
U056,R14,M15,evaluation_and_training,C++,162655 train; 5664 validation; 14564 test functions,Total subset contains 182883 functions,"CodeMark.pdf, Section IV"
U057,R15,M18,evaluation,C,4577_functions,Functions extracted from 2072 source files,"SrcMarker.pdf, Table 2"
U058,R15,M20,evaluation_and_training,C,4577_eligible_functions,Model transferred to C++ MBCPP,"DWC.pdf, Section 5"
U059,R16,M18,evaluation,Java,5501_functions,Functions extracted from 3022 source files,"SrcMarker.pdf, Table 2"
U060,R17,M10,evaluation,Python,406_prompts,Prompts use Python-like signatures; no canonical solutions or tests,"MCGMark.pdf, Section 3"
U061,R18,M06,training,Python,30000 samples total: three disjoint 10000-sample splits,"Actor SFT, detector pretraining, and GRPO training each draw a separate split of the OpenCoder-LLM dataset; detector pretraining and GRPO training splits are each confirmed as 10,000 samples (the initial actor-SFT split size is not stated)","SWaRL.pdf, Section 4.1"
U062,R19,M07,auxiliary,Java; Python; C; JavaScript,"not_reported (CodeAcrostic.pdf describes the corpus only as ""an arbitrarily chosen"" third-party resource, without stating what fraction it uses)",Used to derive cue statistics rather than as final evaluation,"CodeAcrostic.pdf, Section 4.1 (corpus identity only; scale is CoCoNuT's own reported figure, see 4_resources.csv)"
U063,R15,M08,evaluation,C,not_reported,C is included in the five-language CLASP coverage summarized in the paper's evaluation section,"CLASP.pdf, Section 5.1"
U064,R20,M12,evaluation,Python,507 commit versions from 21 projects; 100 system and 100 unit test cases per version (50700 per test type),Original and watermarked projects have unchanged pass rates: 93.31% system tests and 99.20% unit tests,"ACW-Li.pdf, Section IV-D"
U065,R21,M21,evaluation,not_reported,not_reported,"Self-constructed prompts bucketed by structural complexity; used for the code-domain detectability, robustness, and utility-trade-off experiments (the same paper also evaluates natural-language prompts, which are out of scope for this review)","ASLang.pdf, Sections VII-A, VII-C and VII-D"
U066,R22,M16,training,Python,not_reported,Mixed with HumanEval and MBPP prompts to form the watermark-policy training distribution,"CodeTracer.pdf, Appendix C.4"
